intermediary,source,direct-non_state,direct-state,total
UNHCR,Grand Bargain,653.559257,128.641059,782.200316
UNHCR,ODI,555.435608,119.497267,674.932875
UNICEF,Grand Bargain,410.470334,248.944774,659.415108
UNICEF,ODI,331.757246,249.621521,581.378767
WFP,Grand Bargain,1352.772197,461.6696295,1814.441827
WFP,ODI,259.682188,0.635705,260.317893
UN OCHA CBPFs,Grand Bargain,329,,329
UN OCHA CBPFs,ODI,333.7973758,,333.7973758
IOM,Grand Bargain,93.86281,3.68351266,97.54632266
IOM,ODI,65.3052385,1.64834675,66.95358525
