cbpf,regional,percent_top_ten_LNAs
CAR,no,1
Sudan,no,1
RHPF-AP: Pakistan,yes,1
RHPF-LAC: Haiti,yes,1
RHPF-WCA: Burkina Faso,yes,1
RHPF-WCA: Chad,yes,1
RHPF-WCA: Mali,yes,1
RHPF-WCA: Niger,yes,1
RHPF-ESA: Mozambique,yes,0.940504158
Syria,no,0.914891312
Venezuela,no,0.852358378
oPt,no,0.814528202
Lebanon,no,0.799956223
Ukraine,no,0.761129882
South Sudan,no,0.680249834
Yemen,no,0.64928325
Myanmar,no,0.627006505
Ethiopia,no,0.602704116
DRC,no,0.527124866
Afghanistan,no,0.524950088
Nigeria,no,0.469557981
Somalia,no,0.330071599
