channel,partner,value
Direct,INGO,350000
Direct,INGO,350000
Direct,INGO,360563.835
Direct,INGO,360846.45
Direct,INGO,400000
Direct,INGO,450000.005
Direct,INGO,515133.23
Direct,INGO,599999.97
Direct,INGO,614650
Direct,INGO,540972.91
Direct,LNNGO,251757.36
Direct,LNNGO,266269.085
Direct,LNNGO,299992.03
Direct,LNNGO,325003.94
Direct,LNNGO,400011.42
Direct,LNNGO,391786.92
Direct,LNNGO,452645.95
Direct,LNNGO,490005.52
Direct,LNNGO,450000.01
Direct,LNNGO,399999.105
Direct,UN,449990.64
Direct,UN,562391
Direct,UN,479015.705
Direct,UN,475000.39
Direct,UN,500000.01
Direct,UN,562299.78
Direct,UN,896220.025
Direct,UN,951990.385
Direct,UN,649999.96
Direct,UN,502088.8
Indirect,INGO,100000
Indirect,INGO,128787
Indirect,INGO,111980.5
Indirect,INGO,151716
Indirect,INGO,150000
Indirect,INGO,162023.5
Indirect,INGO,113722.59
Indirect,INGO,103845
Indirect,INGO,350000
Indirect,INGO,275701
Indirect,LNNGO,76575
Indirect,LNNGO,78820
Indirect,LNNGO,81120
Indirect,LNNGO,101549.5
Indirect,LNNGO,110854.5
Indirect,LNNGO,94049.67
Indirect,LNNGO,79351
Indirect,LNNGO,108366.5
Indirect,LNNGO,148133
Indirect,LNNGO,130343
