national society,year,percent_abroad
Yemen,2024,1
Chad,2023,0.988242601
Mali,2023,0.96756333
Zambia,2024,0.966042527
Syrian Arab Republic,2024,0.958004569
Somalia,2024,0.940446933
Central African Republic,2018,0.928853919
South Sudan,2023,0.908500933
Haiti,2021,0.900230933
Myanmar,2023,0.89583086
Malawi,2024,0.821414948
Madagascar,2024,0.801163416
Mozambique,2023,0.793045225
Lebanon,2023,0.762455226
Mongolia,2024,0.750858731
"Palestine, State of",2024,0.711093082
Burundi,2024,0.688350462
Pakistan,2023,0.680162695
Libya,2021,0.646244398
"Congo, the Democratic Republic of the",2024,0.641890701
Ethiopia,2023,0.624717428
Nigeria,2023,0.603119424
El Salvador,2024,0.560262774
Ukraine,2022,0.425449024
Nepal,2024,0.416760973
Guatemala,2023,0.383934141
Zimbabwe,2024,0.371901098
Honduras,2023,0.344933622
Indonesia,2018,0.309451577
Colombia,2024,0.2398739
Afghanistan,2024,0.23254048
Sudan,2023,0.171267206
