ISO,year,base_year,currency,source,ver,gdp_defl
ABW,1980,2023,USD,WEO_est,Apr2024,0.486734417664267
ABW,1981,2023,USD,WEO_est,Apr2024,0.490048302871566
ABW,1982,2023,USD,WEO_est,Apr2024,0.4933847503526
ABW,1983,2023,USD,WEO_est,Apr2024,0.496743913720472
ABW,1984,2023,USD,WEO_est,Apr2024,0.500125947634149
ABW,1985,2023,USD,WEO_est,Apr2024,0.503531007805576
ABW,1986,2023,USD,WEO_est,Apr2024,0.50695925100685
ABW,1987,2023,USD,WEO_est,Apr2024,0.510410835077435
ABW,1988,2023,USD,WEO_est,Apr2024,0.513885918931429
ABW,1989,2023,USD,WEO_est,Apr2024,0.517384662564884
ABW,1990,2023,USD,WEO_est,Apr2024,0.520907227063169
ABW,1991,2023,USD,WEO_est,Apr2024,0.524453774608386
ABW,1992,2023,USD,WEO_est,Apr2024,0.528024468486841
ABW,1993,2023,USD,WEO_est,Apr2024,0.531619473096558
ABW,1994,2023,USD,WEO_est,Apr2024,0.535238953954848
ABW,1995,2023,USD,WEO,Apr2024,0.538883077705934
ABW,1996,2023,USD,WEO,Apr2024,0.555962832011748
ABW,1997,2023,USD,WEO,Apr2024,0.576724773268535
ABW,1998,2023,USD,WEO,Apr2024,0.614569136002476
ABW,1999,2023,USD,WEO,Apr2024,0.627376222341409
ABW,2000,2023,USD,WEO,Apr2024,0.633329000983714
ABW,2001,2023,USD,WEO,Apr2024,0.615371304386449
ABW,2002,2023,USD,WEO,Apr2024,0.642867555789453
ABW,2003,2023,USD,WEO,Apr2024,0.662376614585473
ABW,2004,2023,USD,WEO,Apr2024,0.681075424072206
ABW,2005,2023,USD,WEO,Apr2024,0.715528946290192
ABW,2006,2023,USD,WEO,Apr2024,0.740534052975833
ABW,2007,2023,USD,WEO,Apr2024,0.778828999254722
ABW,2008,2023,USD,WEO,Apr2024,0.811908463258771
ABW,2009,2023,USD,WEO,Apr2024,0.825813934755914
ABW,2010,2023,USD,WEO,Apr2024,0.815774923446764
ABW,2011,2023,USD,WEO,Apr2024,0.848360167336737
ABW,2012,2023,USD,WEO,Apr2024,0.84981007005657
ABW,2013,2023,USD,WEO,Apr2024,0.832964328333343
ABW,2014,2023,USD,WEO,Apr2024,0.865943193099996
ABW,2015,2023,USD,WEO,Apr2024,0.925080882043719
ABW,2016,2023,USD,WEO,Apr2024,0.915884104246799
ABW,2017,2023,USD,WEO,Apr2024,0.886540485797897
ABW,2018,2023,USD,WEO,Apr2024,0.917443593055181
ABW,2019,2023,USD,WEO,Apr2024,0.973468566562725
ABW,2020,2023,USD,WEO,Apr2024,0.964969997735308
ABW,2021,2023,USD,WEO,Apr2024,0.916730978465837
ABW,2022,2023,USD,WEO,Apr2024,0.948154686309373
ABW,2023,2023,USD,WEO,Apr2024,1
ABW,2024,2023,USD,WEO,Apr2024,1.02228295455602
ABW,2025,2023,USD,WEO,Apr2024,1.04002127484037
ABW,2026,2023,USD,WEO,Apr2024,1.05995296701893
ABW,2027,2023,USD,WEO,Apr2024,1.08103137527542
ABW,2028,2023,USD,WEO,Apr2024,1.10248849747809
ABW,2029,2023,USD,WEO,Apr2024,1.12454121985431
AFG,1960,2023,USD,OECD,Apr2025,0.11358198
AFG,1961,2023,USD,OECD,Apr2025,0.11638572
AFG,1962,2023,USD,OECD,Apr2025,0.12038913
AFG,1963,2023,USD,OECD,Apr2025,0.12356586
AFG,1964,2023,USD,OECD,Apr2025,0.12644109
AFG,1965,2023,USD,OECD,Apr2025,0.12971001
AFG,1966,2023,USD,OECD,Apr2025,0.13295002
AFG,1967,2023,USD,OECD,Apr2025,0.13570536
AFG,1968,2023,USD,OECD,Apr2025,0.14025606
AFG,1969,2023,USD,OECD,Apr2025,0.1454114
AFG,1970,2023,USD,OECD,Apr2025,0.1460865
AFG,1971,2023,USD,OECD,Apr2025,0.15594257
AFG,1972,2023,USD,OECD,Apr2025,0.17201902
AFG,1973,2023,USD,OECD,Apr2025,0.19907516
AFG,1974,2023,USD,OECD,Apr2025,0.21904926
AFG,1975,2023,USD,OECD,Apr2025,0.24832529
AFG,1976,2023,USD,OECD,Apr2025,0.25663887
AFG,1977,2023,USD,OECD,Apr2025,0.27861189
AFG,1978,2023,USD,OECD,Apr2025,0.31874187
AFG,1979,2023,USD,OECD,Apr2025,0.36423294
AFG,1980,2023,USD,OECD,Apr2025,0.39519997
AFG,1981,2023,USD,OECD,Apr2025,0.38518206
AFG,1982,2023,USD,OECD,Apr2025,0.37591786
AFG,1983,2023,USD,OECD,Apr2025,0.37738468
AFG,1984,2023,USD,OECD,Apr2025,0.37071194
AFG,1985,2023,USD,OECD,Apr2025,0.37119136
AFG,1986,2023,USD,OECD,Apr2025,0.45219291
AFG,1987,2023,USD,OECD,Apr2025,0.52442849
AFG,1988,2023,USD,OECD,Apr2025,0.56374607
AFG,1989,2023,USD,OECD,Apr2025,0.56821604
AFG,1990,2023,USD,OECD,Apr2025,0.62312959
AFG,1991,2023,USD,OECD,Apr2025,0.64942534
AFG,1992,2023,USD,OECD,Apr2025,0.68334455
AFG,1993,2023,USD,OECD,Apr2025,0.66722344
AFG,1994,2023,USD,OECD,Apr2025,0.70102579
AFG,1995,2023,USD,OECD,Apr2025,0.78598104
AFG,1996,2023,USD,OECD,Apr2025,0.73459623
AFG,1997,2023,USD,OECD,Apr2025,0.69214529
AFG,1998,2023,USD,OECD,Apr2025,0.68073748
AFG,1999,2023,USD,OECD,Apr2025,0.69112011
AFG,2000,2023,USD,OECD,Apr2025,0.66611544
AFG,2001,2023,USD,OECD,Apr2025,0.6276061
AFG,2002,2023,USD,OECD,Apr2025,0.64842903
AFG,2003,2023,USD,OECD,Apr2025,0.72868206
AFG,2004,2023,USD,OECD,Apr2025,0.78709524
AFG,2005,2023,USD,OECD,Apr2025,0.80951255
AFG,2006,2023,USD,OECD,Apr2025,0.83589837
AFG,2007,2023,USD,OECD,Apr2025,0.8977682
AFG,2008,2023,USD,OECD,Apr2025,0.93968768
AFG,2009,2023,USD,OECD,Apr2025,0.90651274
AFG,2010,2023,USD,OECD,Apr2025,0.91594612
AFG,2011,2023,USD,OECD,Apr2025,0.97064399
AFG,2012,2023,USD,OECD,Apr2025,0.9479295
AFG,2013,2023,USD,OECD,Apr2025,0.96068495
AFG,2014,2023,USD,OECD,Apr2025,0.9606948
AFG,2015,2023,USD,OECD,Apr2025,0.86810106
AFG,2016,2023,USD,OECD,Apr2025,0.85928091
AFG,2017,2023,USD,OECD,Apr2025,0.87737197
AFG,2018,2023,USD,OECD,Apr2025,0.91416068
AFG,2019,2023,USD,OECD,Apr2025,0.89910315
AFG,2020,2023,USD,OECD,Apr2025,0.92651159
AFG,2021,2023,USD,OECD,Apr2025,0.98295204
AFG,2022,2023,USD,OECD,Apr2025,0.95413574
AFG,2023,2023,USD,OECD,Apr2025,1
AFG,2024,2023,USD,OECD,Apr2025,1.02176784
AFG,2025,2023,USD,WEO,Apr2024,1.0433796482925
AFG,2026,2023,USD,WEO,Apr2024,1.06643013928647
AFG,2027,2023,USD,WEO,Apr2024,1.0886866724001
AFG,2028,2023,USD,WEO,Apr2024,1.11241122429816
AFG,2029,2023,USD,WEO,Apr2024,1.13537442018853
AGO,1980,2023,USD,WEO,Apr2024,0.513275879199975
AGO,1981,2023,USD,WEO,Apr2024,0.502529479560151
AGO,1982,2023,USD,WEO,Apr2024,0.502529479560151
AGO,1983,2023,USD,WEO,Apr2024,0.502608021764911
AGO,1984,2023,USD,WEO,Apr2024,0.502567019793599
AGO,1985,2023,USD,WEO,Apr2024,0.5982637532508
AGO,1986,2023,USD,WEO,Apr2024,0.544347814093642
AGO,1987,2023,USD,WEO,Apr2024,0.597764009989368
AGO,1988,2023,USD,WEO,Apr2024,0.611040702115997
AGO,1989,2023,USD,WEO,Apr2024,0.710507846519781
AGO,1990,2023,USD,WEO,Apr2024,0.80999492005765
AGO,1991,2023,USD,WEO,Apr2024,0.700535294903594
AGO,1992,2023,USD,WEO,Apr2024,0.48480684783314
AGO,1993,2023,USD,WEO,Apr2024,0.317096157346264
AGO,1994,2023,USD,WEO,Apr2024,0.20892193172954
AGO,1995,2023,USD,WEO,Apr2024,0.236275583049664
AGO,1996,2023,USD,WEO,Apr2024,0.27407249979343
AGO,1997,2023,USD,WEO,Apr2024,0.300040529499974
AGO,1998,2023,USD,WEO,Apr2024,0.242941343534815
AGO,1999,2023,USD,WEO,Apr2024,0.224849310162228
AGO,2000,2023,USD,WEO,Apr2024,0.323709840208296
AGO,2001,2023,USD,WEO,Apr2024,0.304078499977896
AGO,2002,2023,USD,WEO,Apr2024,0.374135424253786
AGO,2003,2023,USD,WEO,Apr2024,0.423327990419486
AGO,2004,2023,USD,WEO,Apr2024,0.504462235733704
AGO,2005,2023,USD,WEO,Apr2024,0.688421968786559
AGO,2006,2023,USD,WEO,Apr2024,0.874390681437619
AGO,2007,2023,USD,WEO,Apr2024,0.955599219390795
AGO,2008,2023,USD,WEO,Apr2024,1.16614196216949
AGO,2009,2023,USD,WEO,Apr2024,0.918122688468967
AGO,2010,2023,USD,WEO,Apr2024,1.04360289968549
