rcrc_ns_name,fts_rcrc_ns_name,other_rcrc_ns_name,country_name,iso3
Afghan Red Crescent,Afghan Red Crescent,,Afghanistan,AFG
,Albanian Red Cross,,Albania,ALB
,Algerian Red Crescent,ALGERIAN RED CRESCENTCROISSANT; ALGERIAN RED CRESCENTCROISSANT ROUG,Algeria,DZA
,Angola Red Cross,,Angola,AGO
,Antigua and Barbuda Red Cross Society,,Antigua and Barbuda,ATG
,,CRUZ ROJA ARGENTINA,Argentina,ARG
,Armenian Red Cross Society,ARMENIAN RED CROSS SOCIETY; ARMENIAN RED CROSS SOCIETY,Armenia,ARM
,Austrian Red Cross,"AUSTRIAN RED CROSS, AUSTRIA; AUSTRIAN RED CROSS",Austria,AUT
,Red Crescent Society of Azerbaijan,,Azerbaijan,AZE
,Bahamas Red Cross Society,,Bahamas,BHS
,Bangladesh Red Crescent Society,BANGLADESH RED CRESCENT SOCIETY,Bangladesh,BGD
,Belarusian Red Cross,Belarus Red Cross Society/Minsk; RED CROSS OF BELARUS; BELARUS RED CROSS SOCIETY ,Belarus,BLR
,Belize Red Cross Society,BELIZE RED CROSS SOCIETY,Belize,BLZ
,Benin Red Cross Society,CROIX ROUGE BENINOISE,Benin,BEN
,Bolivian Red Cross,,Bolivia,BOL
,Red Cross Society of Bosnia and Herzegovina,Crveni kriz Tuzlanskog kantona; Red Cross of the Republic of Srpska; Red Cross USC/ Crveni Kriz USK; Drustvo Crvenog krsta kriza Bosne i; CRVENI KRIZ FEDERACIJE BOSNE I HERCEGOVINE; CRVENI KRST KRIZ BRCKO DISTRIKTA BIH; CRVENI KRST REPUBLIKE SRPSKE; DRUSTVO CRVENOG KRSTA KRIZA BOSNE I HERCEGOVINE,Bosnia and Herzegovina,BIH
,Botswana Red Cross Society,BOTSWANA RED CROSS SOCIETY,Botswana,BWA
,Brazilian Red Cross,,Brazil,BRA
,Bulgarian Red Cross,BULGARIAN RED CROSS; RED CROSS BULGARIA,Bulgaria,BGR
Burkinabe Red Cross Society,Burkinabe Red Cross Society,CROIX ROUGE BURKINABE,Burkina Faso,BFA
Burundi Red Cross,Burundi Red Cross,CROIX ROUGE DU BURUNDI,Burundi,BDI
,Red Cross of Cape Verde,,Cabo Verde,CPV
,Cambodian Red Cross,,Cambodia,KHM
Cameroon Red Cross Society,Cameroon Red Cross Society,,Cameroon,CMR
Central African Red Cross Society,Central African Red Cross Society,,Central African Republic,CAF
Red Cross of Chad,Croix-Rouge du Tchad,CROIX ROUGE DU TCHAD; Croix-Rouge du Tchad; CROIX ROUGE DU TCHAD.; CROIX ROUGE DU TCHADRCRC MOVEMENT,Chad,TCD
,Chilean Red Cross,,Chile,CHL
Colombian Red Cross Society,Colombian Red Cross Society,CRUZ ROJA COLOMBIANA CUNDINAMARCA; SOCIEDAD NACIONAL DE LA CRUZ ROJA (; Cruz Roja Colombiana Seccional Antioquia; CRUZ ROJA COLOMBIANA SECCIONAL CASA; CRUZ ROJA COLOMBIANA SECCIONAL CESA; CRUZ ROJA COLOMBIANA SECCIONAL GUAJ; CRUZ ROJA COLOMBIANA SECCIONAL NORT; Cruz Roja Colombiana Seccional Cord,Colombia,COL
,"Comoros Red Crescent, The",Croissant Rouge Comorien; CROISSANT ROUGE COMORIEN,Comoros,COM
,Cook Islands Red Cross Society,,Cook Islands,COK
,Costa Rican Red Cross,Asociacion Cruz Roja Costarricense,Costa Rica,CRI
Red Cross Society of Côte d'Ivoire,,CROIX ROUGE DE COTE D IVOIRE,Côte d'Ivoire,CIV
,Croatian Red Cross,CROATIAN RED CROSS,Croatia,HRV
Cuban Red Cross,,,Cuba,CUB
Red Cross Society of the Democratic People's Republic of Korea,Red Cross Society of the Democratic People's Republic of Korea,,Democratic People's Republic of Korea,PRK
Red Cross of the Democratic Republic of the Congo,Croix Rouge RDC,CROIX ROUGE RDC; CROIX ROUGE DE LA RDC NORD KIVU; CROIX ROUGE DE LA RDC NK; CROIX ROUGE RDC TANGANIKA; CROIX ROUGE RDC SUD KIVU; CROIX ROUGE SUD KIVU,Democratic Republic of the Congo,COD
,Croix Rouge Katanga,,Democratic Republic of the Congo,COD
Red Crescent Society of Djibouti,Djibouti Red Crescent Society,CROISSANT ROUGE DE DJIBOUTI,Djibouti,DJI
,Dominica Red Cross Society,CRUZ ROJA DOMINICANA,Dominica,DMA
Ecuadorian Red Cross,Ecuadorian Red Cross,Cruz Roja Ecuatoriana Pichincha; SOCIEDAD NACIONAL DE LA CRUZ ROJA E,Ecuador,ECU
,Egyptian Red Crescent Society,EGYPTIAN RED CRESCENT SOCIETY; EGYPTIAN RED CRESCENT SOCIETY,Egypt,EGY
Salvadorean Red Cross Society,Salvadorean Red Cross Society,,El Salvador,SLV
,Estonia Red Cross,,Estonia,EST
Ethiopian Red Cross Society,Ethiopian Red Cross Society,ETHIOPIAN RED CROSS SOCIETY,Ethiopia,ETH
,Fiji Red Cross Society,FIJI RED CROSS SOCIETY,Fiji,FJI
Gambia Red Cross Society,"Gambian Red Cross Society, The",THE GAMBIA RED CROSS SOCIETY,Gambia,GMB
,Red Cross Society of Georgia,,Georgia,GEO
,Ghana Red Cross Society,,Ghana,GHA
,Hellenic Red Cross,,Greece,GRC
,Grenada Red Cross Society,,Grenada,GRD
Guatemalan Red Cross,Guatemalan Red Cross,Asociación Nacional de la Cruz Roja Guatemalteca; CRUZ ROJA GUATEMALTECA,Guatemala,GTM
,Guyana Red Cross Society,,Guyana,GUY
Haiti Red Cross Society,Haitian National Red Cross Society,,Haiti,HTI
Honduran Red Cross,Honduran Red Cross,CRUZ ROJA HONDUREÑA,Honduras,HND
,Icelandic Red Cross,,Iceland,ISL
,Indian Red Cross Society,,India,IND
Indonesian Red Cross Society,Indonesian Red Crescent Society,,Indonesia,IDN
Red Crescent Society of the Islamic Republic of Iran,Red Crescent Society of the Islamic Republic of Iran,,Iran,IRN
Iraqi Red Crescent Society,Iraqi Red Crescent Society,,Iraq,IRQ
,Jamaica Red Cross,,Jamaica,JAM
,Jordan National Red Crescent Society,,Jordan,JOR
,Kazakh Red Crescent Society,RED CRESCENT SOCIETY OF THE REPUBLIC OF KAZAKHSTAN; RED CRESCENT SOCIETY; PUBLIC ASSOCIATION RED CRESCENT SOCIETY OF THE REPUBLIC OF KAZAKHSTAN,Kazakhstan,KAZ
Kenya Red Cross Society,Kenya Red Cross Society,KENYA RED CROSS SOCIETY; KENYA RED CROSS SOCIETY; KENYA RED CROSS SOCIETY - KEN; KENYA RED CROSS SOCIETY,Kenya,KEN
,Republic of Korea National Red Cross,,Korea,KOR
,Kuwait Red Crescent Society,,Kuwait,KWT
,Kyrgyzstan Red Cross,,Kyrgyzstan,KGZ
,Red Crescent Society of Kyrgyzstan,KYRGYZ RED CRESCENT SOCIETY; RED CRESCENT SOCIETY OF KYRGYZSTAN,Kyrgyzstan,KGZ
,Latvian Red Cross,,Latvia,LVA
Lebanese Red Cross,Lebanese Red Cross,Lebanese Red Cross; LEBANESE RED CROSS,Lebanon,LBN
Lesotho Red Cross Society,,LESOTHO RED CROSS SOCIETY; Lesotho Red Cross,Lesotho,LSO
Liberian Red Cross Society,Liberian Red Cross Society,LIBERIAN NATIONAL RED CROSS SOCIETY,Liberia,LBR
Libyan Red Crescent,Libya Red Crescent,The Libyan Red Crescent General Secretariat; LIBYAN RED CRESCENT SOCIETY; The Libyan Red Crescent Society,Libya,LBY
,,LITHUANIAN RED CROSS,Lithuania,LTU
,Macedonian Red Cross,"CITY RED CROSS, MACEDONIA; Red Cross of North Macedonia - City Red Cross of Skopje",Macedonia,MKD
Malagasy Red Cross Society,Malagasy Red Cross Society,Croix Rouge Malagasy,Madagascar,MDG
Malawi Red Cross Society,Malawi Red Cross Society,Malawi Red Cross Society; MALAWI RED CROSS SOCIETY,Malawi,MWI
,Malaysia Red Crescent Society,,Malaysia,MYS
,Maldivian Red Crescent,,Maldives,MDV
Mali Red Cross,Mali Red Cross,CROIX ROUGE MALIENNE,Mali,MLI
,Malta Red Cross Society,,Malta,MLT
,Mauritanian Red Crescent,,Mauritania,MRT
,Mexican Red Cross,,Mexico,MEX
,Red Cross Society of the Republic of Moldova,,Moldova,MDA
Mongolian Red Cross Society,Mongolian Red Cross,MONGOLIAN RED CROSS SOCIETY,Mongolia,MNG
,Red Cross of Montenegro,RED CROSS OF MONTENEGRO; CRVENI KRST CRNE GORE RED CROSS OF MONTENEGRO,Montenegro,MNE
,Moroccan Red Crescent,,Morocco,MAR
Mozambique Red Cross Society,Mozambique Red Cross Society,,Mozambique,MOZ
Myanmar Red Cross Society,Myanmar Red Cross Society,MYANMAR RED CROSS SOCIETY,Myanmar,MMR
,Namibia Red Cross,,Namibia,NAM
Nepal Red Cross Society,Nepal Red Cross Society,Nepal Red Cross Society; NEPAL RED CROSS SOCIETY; NEPAL RED CROSS SOCIETY BARDIYA DIS,Nepal,NPL
,Nicaraguan Red Cross,,Nicaragua,NIC
,Red Cross Society of Niger,CROIX ROUGE NIGERIENNE,Niger,NER
Nigerian Red Cross Society,Nigerian Red Cross Society,NIGERIAN RED CROSS; Nigerian Red Cross Society; NIGERIAN RED CROSS SOCIETY,Nigeria,NGA
Pakistan Red Crescent,Pakistan Red Crescent Society,,Pakistan,PAK
,Palau Red Cross Society,,Palau,PLW
Palestine Red Crescent Society,Palestine Red Crescent Society,,Palestine,PSE
,Red Cross Society of Panama,CRUZ ROJA PANAMENA; CRUZ ROJA PANAMEÑA,Panama,PAN
,Papua New Guinea Red Cross Society,,Papua New Guinea,PNG
Peruvian Red Cross,Peruvian Red Cross,Sociedad Peruana de la Cruz Roja,Peru,PER
Philippine Red Cross,Philippine Red Cross,,Philippines,PHL
,Polish Red Cross,POLISH RED CROSS,Poland,POL
,Qatar Red Crescent Society,Qatar Red Crescent; QATAR RED CRESCENT,Qatar,QAT
Congolese Red Cross,,,Republic of the Congo,COG
,Romanian Red Cross,,Romania,ROU
,,ST.PETERSBURG CENTRE FOR INTERNL. COOP. OF THE RED CROSS,Russia,RUS
,,Russian Red Cross; RUSSIAN RED CROSS MOSCOW,Russia,RUS
,Rwandan Red Cross,CROIX ROUGE RWANDAISE,Rwanda,RWA
,Saint Kitts and Nevis Red Cross Society,,Saint Kitts and Nevis,KNA
,Saint Vincent and the Grenadines Red Cross,,Saint Vincent and the Grenadines,VCT
,Samoa Red Cross Society,SAMOA RED CROSS SOCIETY INC,Samoa,WSM
,Sao Tome and Principe Red Cross,,Sao Tome and Principe,STP
,Saudi Arabian Red Crescent Society,,Saudi Arabia,SAU
Senegalese Red Cross Society,Senegalese Red Cross Society,CROIX ROUGE SENEGALAISE PROJETS D A,Senegal,SEN
,Red Cross of Serbia,CRVENI KRST SRBIJE RED CROSS SERBIA; THE RED CROSS OF SERBIA CRVENI KRST SRBIJE,Serbia,SRB
,Seychelles Red Cross Society,,Seychelles,SYC
,Sierra Leone Red Cross Society,,Sierra Leone,SLE
,Slovak Red Cross,,Slovakia,SVK
,Slovenian Red Cross,Slovenian Red Cross,Slovenia,SVN
,Solomon Islands Red Cross,,Solomon Islands,SLB
Somali Red Crescent Society,Somali Red Crescent Society,SOMALIA RED CRESENT SOCIETY Somalil,Somalia,SOM
,South African Red Cross Society,The South Africa Red Cross Society; THE SOUTH AFRICAN RED CROSS SOCIETY,South Africa,ZAF
South Sudan Red Cross,South Sudan Red Cross,,South Sudan,SSD
Sri Lanka Red Cross Society,Sri Lanka Red Cross Society,SRI LANKA RED CROSS SOCIETY COLOMBO,Sri Lanka,LKA
