year,amount_USD,project_title_description,donor_org,donor_org_type,recipient_org,recipient_org_type,recipient_location,recipient_location_iso3,source,source_id
2022,51278,"Support to Displaced Afghans in Pakistan, Iran, Central Asia, and Afghanistan; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  Hiring of Implementing partners for provision of logistical and technical support to IOM within the project ""Support to Displaced Af ghans in Pakistan, Iran, Central Asia, and Afghanistan”  Reference Documents: PR No.: 4200302087 dated 04 August 2022 Pro",IOM,Multilateral: UN,NGO Femida,NGOs: National,Tajikistan,TJK,IOM,4500243699
2022,26577,"Support to Displaced Afghans in Pakistan, Iran, Central Asia, and Afghanistan; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  Hiring of Implementing partners for provision of logistical and technical support to IOM within the project ""Support to Displaced Af ghans in Pakistan, Iran, Central Asia, and Afghanistan""  Reference Documents: PR No.: 4200302087 dated 04 August 2022 Pro",IOM,Multilateral: UN,Women & Society,NGOs: National,Tajikistan,TJK,IOM,4500243703
2022,200000,"Emergency Multi-Purpose Cash Assistance to Vulnerable Households in Tonga; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  Interim Report",IOM,Multilateral: UN,MORDI Tonga Trust,NGOs: National,Tonga,TON,IOM,4500197484
2022,110733,"Lifesaving Assistance for Conflict-Affected People in Ukraine and Neighbouring Countries; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  Implementing partner agreement as per PR 4200245571",IOM,Multilateral: UN,Unitatem Foundation,NGOs: National,Poland,POL,IOM,4500220613
2022,165127,"Lifesaving Assistance for Conflict-Affected People in Ukraine and Neighbouring Countries; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT; IP - Agreement - The Central Council of Roma",IOM,Multilateral: UN,Centralna Rada Romow w Polsce,NGOs: National,Poland,POL,IOM,4500220641
2022,12111,"IOM Flash Appeal for Ukraine and Neighboring Countries; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  Grant to implementing partner",IOM,Multilateral: UN,Movement of Medical Workers,NGOs: National,Belarus,BLR,IOM,4500267537
2022,380051,"IOM Flash Appeal for Ukraine and Neighboring Countries; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  Implementing partner agreement as per PR 4200245571",IOM,Multilateral: UN,Unitatem Foundation,NGOs: National,Poland,POL,IOM,4500220613
2022,20003,"IOM Flash Appeal for Ukraine and Neighbouring Countries 2022 - Norway; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  Implementing partner agreement as per PR 4200245571",IOM,Multilateral: UN,Unitatem Foundation,NGOs: National,Poland,POL,IOM,4500220613
2022,61075,"Shelter and Non-food Items Emergency Assistance to Affected People in Batken Region of the Kyrgyz Republic; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  Grant to National Implementing Partner PF ""Ulybka"" to carry out NFIs distribution. Agreement 2022_NFI/02. Project code: SN.0195/ DP.2533.",IOM,Multilateral: UN,Public Fund Ulybka,NGOs: National,Kyrgyzstan,KGZ,IOM,4500266464
2022,54310,"Shelter and Non-food Items Emergency Assistance to Affected People in Batken Region of the Kyrgyz Republic; MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT; 000000000500000132-Grants Recipients - National CSOs",IOM,Multilateral: UN,Public Foundation Blagodat,NGOs: National,Kyrgyzstan,KGZ,IOM,4500266466
2022,4874288,"Supporting the Greek Authorities in Managing the National Reception System for Asylum Seekers and Vulnerable Migrants (SMS); MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  IP for the implementation of the project """"Supporting the Greek Authorities in Managing the National Reception System for Asylum Seekers and Vulnerable Migrants (SMS 2020)""",IOM,Multilateral: UN,DANISH REFUGEE COUNCIL,NGOs: International,Greece,GRC,IOM,4500188007
2022,2118166,"Supporting the Greek Authorities in Managing the National Reception System for Asylum Seekers and Vulnerable Migrants (SMS); MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  IP for the Implementation of the project ""Supporting the Greek Authorities in Managing the National Reception System for Asylum Seekers and Vulnerable Migrants (SMS)""",IOM,Multilateral: UN,ARSIS,NGOs: National,Greece,GRC,IOM,4500190099
2022,534823,"Supporting the Greek Authorities in Managing the National Reception System for Asylum Seekers and Vulnerable Migrants (SMS); MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  IP (TDH-CP) for the implementation of the project  ""Supporting the Greek Authorities in Managing the National Reception System forAsylum Seekers and Vulnerable Migrants (SMS)",IOM,Multilateral: UN,TERRE DES HOMMES HELLAS,NGOs: International,Greece,GRC,IOM,4500190777
2022,58364,"Supporting the Greek Authorities in Managing the National Reception System for Asylum Seekers and Vulnerable Migrants (SMS); MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  IP for the implementation of the program ""Supporting the Greek Authorities in Managing the National Reception System for Asylum Seekers and Vulnerable Migrants (SMS)""",IOM,Multilateral: UN,ZEUXIS N.G.O.,NGOs: National,Greece,GRC,IOM,4500202512
2022,932123,"Supporting the Greek Authorities in Managing the National Reception System for Asylum Seekers and Vulnerable Migrants (SMS); MOVEMENT, EMERGENCY AND POST-CRISIS MIGRATION MANAGEMENT;  IP (Metadrasi) for the project ""Supporting the Greek Authorities in Managing the National Reception System for Asylum Seekers and Vulnerable Migrants (SMS)""",IOM,Multilateral: UN,METADRASI (Implementing Partner),NGOs: National,Greece,GRC,IOM,4500215145
