year,country,iso3,description,source_org,destination_org,destination_org_type,amountUSD,data_source
2022,Brazil,BRA,Provision and promotion of self-reliance to PoC,UNHCR,A Casa - Museu De Artes e Artefatos Brasileiros,NGOs: National,46283,UNHCR partner info
2022,Hungary,HUN,Accommodation and day-care assistance for Ukrainian refugees in Hungary,UNHCR,A Segitok Fold-vedo Kozossegfejleszto es Menedekepito Egyesulet,NGOs: National,225092,UNHCR partner info
2022,Lebanon,LBN,SGBV Prevention and Response in Mount Lebanon; GBV Prevention and Response in Bekaa,UNHCR,ABAAD-RESOURCE CENTER FOR GENDER EQUALITY,NGOs: National,1494023,UNHCR partner info
2022,Colombia,COL,Acompañamiento psicosocial y atención para víctimas – sobrevivientes de violencias basadas en género,UNHCR,"ACCION CONTRA EL HAMBRE, ESPANA",NGO: International,71152,UNHCR partner info
2022,Guatemala,GTM,IntegraGuate II: Inserción socio-económica de población de interés,UNHCR,"ACCION CONTRA EL HAMBRE, ESPANA",NGO: International,277980,UNHCR partner info
2022,Mauritania,MRT,Programme d’Assistance aux Réfugiés Maliens en Mauritanie,UNHCR,"ACCION CONTRA EL HAMBRE, ESPANA",NGO: International,1367866,UNHCR partner info
2022,Peru,PER,Programa UNIDOS IV– Respuesta a la integración de la población refugiada y migrante,UNHCR,"ACCION CONTRA EL HAMBRE, ESPANA",NGO: International,1111443,UNHCR partner info
2022,Ethiopia,ETH,"Livelihoods recovery for conflict affected communities in Amhara Region, through ESNFI Distribution",UNHCR,ACTION AFRICA HELP INTERNATIONAL,NGO: International,96168,UNHCR partner info
2022,South Sudan,SSD,"Infrastructure Development and Transit Centers Management in Jamjang and Yida; Logistics Support for UNHCR’s operations in South Sudan,",UNHCR,ACTION AFRICA HELP INTERNATIONAL,NGO: International,8485995,UNHCR partner info
2022,Ethiopia,ETH,Provision of GBV response for survivors and implementation. of GBV risk mitigation measures.; Nutrition for South Sudanese refugees,UNHCR,"ACTION AGAINST HUNGER, USA",NGO: International,2000661,UNHCR partner info
2022,Uganda,UGA,Food Security and Livelihoods Support through an Optimized Land Use Model in Adjumani & Kiryandongo,UNHCR,"ACTION AGAINST HUNGER, USA",NGO: International,195250,UNHCR partner info
2022,Bangladesh,BGD,Comprehensive nutrition and mental health project to address undernutrition and human sufferings,UNHCR,"ACTION CONTRE LA FAIM, FRANCE",NGO: International,406233,UNHCR partner info
2022,Ethiopia,ETH,"Provision of shelter and NFI assistance to Internally Displaced People in Somali and Oromia regions; Shelter; Refugees and hosts have increased access to clean,
affordable, sustainable energy in a protection; CRI Distribution and Construction of Durable Shelter and Provision of Shelter Materials; Provide Protection and
Assistance to PoC; IDP project in Gambella and Assosa; WASH and water system operational delivery increased or maintained; Provision of Assistance to PoCs in
Northern Region; Provision of Assistance to PoCs in Adi/harush and Maiani",UNHCR,ACTION FOR THE NEEDY IN ETHIOPIA,NGOs: National,14085207,UNHCR partner info
