year,destination_org,country,activity_description,amountUSD,destination_org_type,source_org,data_source
2022,ALGERIAN RED CRESCENTCROISSANT,Algeria,School meal activities,73398.52,Red Cross: National,WFP,WFP FLA data
2022,CISP,Algeria,School meal activities,70455.41,NGOs: International,WFP,WFP FLA data
2022,CISP,Algeria,Unconditional resource transfers to support access to food,67506.56,NGOs: International,WFP,WFP FLA data
2022,TRIANGLE GENERATION HUMANITAIRE,Algeria,Unconditional resource transfers to support access to food,71651.78,NGOs: International,WFP,WFP FLA data
2022,JOINT AID MANAGEMENT,Angola,Unconditional resource,86030,NGOs: National,WFP,WFP FLA data
2022,JOINT AID MANAGEMENT,Angola,Nutrition treatment,79812.46,NGOs: National,WFP,WFP FLA data
2022,WORLD VISION INTERNATIONAL ANGOLA,Angola,Unconditional resource transfers to support access to food,106210.48,NGOs: International,WFP,WFP FLA data
2022,New Society Institute NGO of Democr,Armenia,School meal activities,147160.96,Unknown,WFP,WFP FLA data
2022,SOCIAL AND INDUSTRIAL,Armenia,School meal activities,357468,NGOs: International,WFP,WFP FLA data
2022,ACTION CONTRE LA FAIM,Bangladesh,Unconditional resource transfers to support access to food,120500.5,NGOs: International,WFP,WFP FLA data
2022,BRAC,Bangladesh,Institutional capacity strengthening activities,31462.48,NGOs: National,WFP,WFP FLA data
2022,CENTER FOR NATURAL RESOURCE STUDIES,Bangladesh,Service provision and platforms activities,446561.3,NGOs: National,WFP,WFP FLA data
2022,Dhaka Ahsania Mission,Bangladesh,Institutional capacity strengthening activities,22820.61,NGOs: National,WFP,WFP FLA data
2022,Eco-Social Development Organization,Bangladesh,Institutional capacity strengthening activities,189012.83,NGOs: National,WFP,WFP FLA data
2022,Eco-Social Development Organization,Bangladesh,Unconditional resource transfers to support access to food,33456.43,NGOs: National,WFP,WFP FLA data
2022,EUGLENA CO LTD,Bangladesh,Unconditional resource transfers to support access to food,397393.63,Private Organisations: International,WFP,WFP FLA data
2022,Friends in VillageDevelopment Bangl,Bangladesh,Unconditional resource transfers to support access to food,43738.5,NGOs: National,WFP,WFP FLA data
2022,GONOSHASTHAYA KENDRA,Bangladesh,Unconditional resource transfers to support access to food,21899.72,NGOs: National,WFP,WFP FLA data
2022,GOOD NEIGHBORS  BANGLADESH,Bangladesh,Institutional capacity strengthening activities,74094.25,NGOs: International,WFP,WFP FLA data
2022,GRAM UNNAYON SANGATHON,Bangladesh,Unconditional resource transfers to support access to food,37278.42,NGOs: Local,WFP,WFP FLA data
2022,Helen Keller International,Bangladesh,Institutional capacity strengthening activities,54857.14,NGOs: International,WFP,WFP FLA data
2022,HELPAGE INTERNATIONAL (HAI) BANGLAD,Bangladesh,Unconditional resource transfers to support access to food,591531.61,NGOs: International,WFP,WFP FLA data
2022,HELVETAS Swiss Intercooperation,Bangladesh,Service provision and platforms activities,673528.75,NGOs: International,WFP,WFP FLA data
2022,N Z EKATA MOHILA SAMITI,Bangladesh,Unconditional resource transfers to support access to food,79146.85,NGOs: Local,WFP,WFP FLA data
2022,National Development Programme,Bangladesh,Institutional capacity strengthening activities,359774.5,NGOs: National,WFP,WFP FLA data
2022,OXFAM GB,Bangladesh,Institutional capacity strengthening activities,157513.31,NGOs: International,WFP,WFP FLA data
2022,Rangpur Dinajpur Rural Service (RDR,Bangladesh,Institutional capacity strengthening activities,40172.45,NGOs: Local,WFP,WFP FLA data
2022,Resource Integration Centre,Bangladesh,Institutional capacity strengthening activities,157676.64,NGOs: National,WFP,WFP FLA data
2022,Sabalamby Unnayan Samity,Bangladesh,Unconditional resource transfers to support access to food,26489.57,NGOs: Local,WFP,WFP FLA data
2022,Shuchona Foundation,Bangladesh,Institutional capacity strengthening activities,48144.32,NGOs: National,WFP,WFP FLA data
2022,YOUNG POWER IN SOCIAL ACTION,Bangladesh,Unconditional resource transfers to support access to food,552096.41,NGOs: National,WFP,WFP FLA data
2022,CARITAS BURUNDI,Burundi,Unconditional resource transfers to support access to food,328147.07,NGOs: National,WFP,WFP FLA data
2022,CARITAS BURUNDI,Burundi,Institutional capacity strengthening activities,42753.49,NGOs: National,WFP,WFP FLA data
2022,CONCERN WORLDWIDE - BUJUMBURA,Burundi,Malnutrition prevention activities,139835.82,NGOs: International,WFP,WFP FLA data
2022,CROIX ROUGE DU BURUNDI,Burundi,Institutional capacity strengthening activities,101643.28,Red Cross: National,WFP,WFP FLA data
2022,CROIX ROUGE DU BURUNDI,Burundi,Unconditional resource transfers to support access to food,57878.97,Red Cross: National,WFP,WFP FLA data
2022,Groupe de Volontariat Civil (GVC),Burundi,Malnutrition prevention activities,88318.39,NGOs: International,WFP,WFP FLA data
2022,INTERNATIONAL LIFELINE FUND,Burundi,School meal activities,51605.03,NGOs: International,WFP,WFP FLA data
2022,Stichting International Red Cross R,Burundi,Institutional capacity strengthening activities,43648.29,Red Cross: International,WFP,WFP FLA data
2022,VETERINAIRES SANS FRONTIERES BELGIQ,Burundi,Malnutrition prevention activities,46579.6,NGOs: International,WFP,WFP FLA data
2022,WELTHUNGERHLIFE - AGRO ACTIVE,Burundi,School meal activities,207063.22,NGOs: International,WFP,WFP FLA data
2022,WORLD VISION INTERNATIONAL,Burundi,School meal activities,172593.92,NGOs: International,WFP,WFP FLA data
2022,HELEN KELLER INTERNATIONAL,Cambodia,School meal activities,114376.25,NGOs: International,WFP,WFP FLA data
2022,HELEN KELLER INTERNATIONAL,Cambodia,Institutional capacity strengthening activities,25923.75,NGOs: International,WFP,WFP FLA data
2022,PEOPLE IN NEED (PIN),Cambodia,Emergency preparedness,150777.27,NGOs: International,WFP,WFP FLA data
2022,PLAN INTERNATIONAL CAMBODIA,Cambodia,School meal activities,539762.6,NGOs: International,WFP,WFP FLA data
2022,THE WORLD EDUCATION CAMBODIA,Cambodia,School meal activities,559702.67,NGOs: National,WFP,WFP FLA data
2022,WORLD VISION INC,Cambodia,School meal activities,402506.3,NGOs: International,WFP,WFP FLA data
2022,CORPORACION PARA EL DESARROLLO SOC,Colombia,Unconditional resource transfers to support access to food,510488.21,NGOs: National,WFP,WFP FLA data
2022,CORPORACION PARA EL DESARROLLO SOC,Colombia,Institutional capacity strengthening activities,288402.05,NGOs: National,WFP,WFP FLA data
2022,ASOCIACION AMANECER DE MUJERES POR,Colombia,Unconditional resource transfers to support access to food,22007.4,NGOs: National,WFP,WFP FLA data
2022,ASOCIACION DE APOYO AL DESARROLLO,Colombia,Unconditional resource transfers to support access to food,138579.73,NGOs: National,WFP,WFP FLA data
2022,ASOCIACION MEGA SALUD,Colombia,Unconditional resource transfers to support access to food,31696.98,Unknown,WFP,WFP FLA data
2022,CLUB KIWANIS NUBES VERDES,Colombia,Unconditional resource transfers to support access to food,195201.98,NGOs: International,WFP,WFP FLA data
2022,CORPORACION DE PROFESIONALES PARA E,Colombia,Institutional capacity strengthening activities,288421.75,NGOs: National,WFP,WFP FLA data
2022,CORPORACION DE PROFESIONALES PARA E,Colombia,Unconditional resource transfers to support access to food,84263.02,NGOs: National,WFP,WFP FLA data
2022,CORPORACION DE SERVICIO PASTORAL SO,Colombia,Unconditional resource transfers to support access to food,150766.05,Other: National,WFP,WFP FLA data
