year,donor_org,donor_org_type,total_usd_defl_m_lnha
2016,Afghanistan CBPF,Pooled Funds: Country,7.34240174147474
2016,CAR CBPF,Pooled Funds: Country,3.33592953903747
2016,Colombia CBPF,Pooled Funds: Country,1.10498275819953
2016,DRC CBPF,Pooled Funds: Country,14.5229746812367
2016,Iraq CBPF,Pooled Funds: Country,10.023348639271
2016,Jordan CBPF,Pooled Funds: Country,3.29739492292457
2016,Lebanon CBPF,Pooled Funds: Country,5.39746889058666
2016,Myanmar CBPF,Pooled Funds: Country,2.50122130608022
2016,Pakistan CBPF,Pooled Funds: Country,5.37427034193044
2016,Somalia CBPF,Pooled Funds: Country,5.38629988882215
2016,South Sudan CBPF,Pooled Funds: Country,11.5529417731391
2016,Sudan CBPF,Pooled Funds: Country,12.4149973493534
2016,Syria CBPF,Pooled Funds: Country,17.1518538099491
2016,Syria Cross border CBPF,Pooled Funds: Country,35.9688364309176
2016,Yemen CBPF,Pooled Funds: Country,19.3135195567187
2016,oPt CBPF,Pooled Funds: Country,1.51045676087462
2016,World Health Organization,Multilateral: UN,1.92262155573781
2016,Action Contre la Faim,NGOs: International,0.303746303406182
2016,Danish Refugee Council,NGOs: International,3.04306888419062
2016,Afghan Planning Agency,NGOs: Local/National,0.146129942535323
2016,Oxfam Novib,NGOs: International,0.378423861412213
2016,Food and Agriculture Organization of the United Nations,Multilateral: UN,1.32770027440735
2016,Save the Children Fund,NGOs: International,0.192230803777545
2016,Organization for Research and Community Development,NGOs: Local/National,0.0465505512044949
2016,Norwegian Church Aid,NGOs: International,0.495210582532318
2016,IDEAL International,NGOs: Local/National,0.00202029392227508
2016,Person in Need Relief Mission,NGOs: Local/National,0.0116376378011237
2016,Triangle Génération Humanitaire,NGOs: International,0.105744232116131
2016,Médecins du Monde France,NGOs: International,0.0507438248569958
2016,Evangelisches Werk für Diakonie und Entwicklung e.V.,NGOs: International,0.274463213665482
2016,Cooperazione Internazionale - COOPI,NGOs: International,0.20667914058512
2016,Associazione Volontari per il Servizio Internationale,NGOs: International,0.00349129134033712
2016,Action Solidaire aux Vulnérables,NGOs: Local/National,0.0133745552429414
